gene_id,Control1,Control2,Control3,Salinomycin1,Salinomycin2,Salinomycin3
ENSG00000000003,2613,2853,2432,2374,2153,2507
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,3568,3665,3151,3435,3372,3854
ENSG00000000457,835,919,796,931,806,864
ENSG00000000460,1656,1851,1622,1221,1113,1224
ENSG00000000938,0,0,0,0,2,0
ENSG00000000971,2,4,2,1,0,1
ENSG00000001036,3460,3678,3299,2904,2370,2903
ENSG00000001084,4489,4711,4137,4261,3775,4304
ENSG00000001167,1645,1796,1482,1605,1439,1690
ENSG00000001460,705,742,669,698,600,776
ENSG00000001461,2299,2361,2077,2334,2024,2737
ENSG00000001497,3710,4116,3522,3316,2555,3456
ENSG00000001561,1684,1802,1617,1585,1763,1813
ENSG00000001617,5076,5913,5187,4520,3076,4573
ENSG00000001626,0,0,0,0,0,0
ENSG00000001629,3077,3145,2713,3454,3263,3865
ENSG00000001630,129,192,155,290,190,258
ENSG00000001631,1282,1307,1051,1350,1428,1429
ENSG00000002016,227,240,201,201,210,218
ENSG00000002079,5,2,6,5,2,2
ENSG00000002330,1208,1459,1282,1357,754,1418
ENSG00000002549,2019,2200,1987,1809,1525,2046
ENSG00000002586,2101,2447,2123,2127,1698,2315
ENSG00000002587,86,80,78,66,53,59
ENSG00000002726,0,0,0,0,0,0
ENSG00000002745,0,0,0,0,0,0
ENSG00000002746,0,0,0,0,2,0
ENSG00000002822,1788,1982,1743,1463,1044,1569
ENSG00000002834,13100,14364,13073,12768,9616,13151
ENSG00000002919,575,632,528,515,389,558
ENSG00000002933,0,0,0,0,0,0
ENSG00000003056,3265,3396,3039,2965,2472,3368
ENSG00000003096,510,486,526,402,383,410
ENSG00000003137,519,589,514,296,249,350
ENSG00000003147,2497,2472,2119,3115,2810,3369
ENSG00000003249,1332,1604,1403,1280,998,1398
ENSG00000003393,1796,2016,1745,1650,1518,1806
ENSG00000003400,1138,1305,1121,1235,1147,1213
ENSG00000003402,3513,3683,3190,3297,3196,3358
ENSG00000003436,1665,1926,1671,1917,2027,2019
ENSG00000003509,1058,1180,919,877,872,993
ENSG00000003756,1959,2223,2073,1950,1833,2122
ENSG00000003987,0,0,0,0,0,0
ENSG00000003989,11,7,8,2,3,2
ENSG00000004059,3537,4147,3436,3600,2374,3559
ENSG00000004139,395,444,361,765,587,958
ENSG00000004142,4116,4527,3968,3938,2933,3949
ENSG00000004399,1553,1795,1590,1345,1022,1455
ENSG00000004455,9020,9721,8594,8704,7677,9255
ENSG00000004468,20,15,22,17,23,12
ENSG00000004478,3831,4095,3687,2565,1934,2554
ENSG00000004487,8751,9638,8341,7530,6313,7380
ENSG00000004534,2932,3364,2856,2816,2614,2882
ENSG00000004660,100,137,115,141,100,159
ENSG00000004700,1569,1631,1397,1916,1759,1886
ENSG00000004766,958,987,847,926,923,1076
ENSG00000004776,26,30,27,32,12,28
ENSG00000004777,1365,1797,1518,1353,1090,1215
